date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:36	3383/3383	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2020%20Sep%202017%2012:11:05%20GMT	https://getmimo.com/robots.txt		(from )
16:12:36	10251/10251	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2012:11:06%20GMT	https://getmimo.com/	C:/My%20Web%20Sites/mimo/getmimo.com/index.html	(from )
16:12:37	5790/5790	---M-Z	200	added ('OK')	application/javascript	etag:%22eab352504ffabf2990f83c2d5404e28c%22	https://getmimo.com/cdn-cgi/apps/head/MU9MQkFgoAddDyvxAC51xpT5ziw.js	C:/My%20Web%20Sites/mimo/getmimo.com/cdn-cgi/apps/head/MU9MQkFgoAddDyvxAC51xpT5ziw.js	(from https://getmimo.com/)
16:12:38	1144/1144	---M--	200	added ('OK')	image/png	etag:%22b4934d167e56085433d2ab8af4fa7c8a%22	https://getmimo.com/static/img/favicon/apple-icon-57x57.png	C:/My%20Web%20Sites/mimo/getmimo.com/static/img/favicon/apple-icon-57x57.png	(from https://getmimo.com/)
16:12:39	1187/1187	---M--	200	added ('OK')	image/png	etag:%2285c794f5b6331d1369997124dbd97278%22	https://getmimo.com/static/img/favicon/apple-icon-60x60.png	C:/My%20Web%20Sites/mimo/getmimo.com/static/img/favicon/apple-icon-60x60.png	(from https://getmimo.com/)
16:12:40	8973/8973	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2020%20Sep%202017%2012:11:05%20GMT	https://getmimo.com/static/img/favicon/apple-icon-72x72.png	C:/My%20Web%20Sites/mimo/getmimo.com/static/img/favicon/apple-icon-72x72.png	(from https://getmimo.com/)
16:12:41	1384/1384	---M--	200	added ('OK')	image/png	etag:%22d0c8e29c4cd6e94a8430ad3eb18e38b8%22	https://getmimo.com/static/img/favicon/apple-icon-76x76.png	C:/My%20Web%20Sites/mimo/getmimo.com/static/img/favicon/apple-icon-76x76.png	(from https://getmimo.com/)
16:12:42	2074/2074	---M--	200	added ('OK')	image/png	etag:%22ad2dd160632585d5f0393f6b105cca35%22	https://getmimo.com/static/img/favicon/apple-icon-114x114.png	C:/My%20Web%20Sites/mimo/getmimo.com/static/img/favicon/apple-icon-114x114.png	(from https://getmimo.com/)
16:12:43	2190/2190	---M--	200	added ('OK')	image/png	etag:%2213ee10e3584bf149eb1f0852cb1b29b7%22	https://getmimo.com/static/img/favicon/apple-icon-120x120.png	C:/My%20Web%20Sites/mimo/getmimo.com/static/img/favicon/apple-icon-120x120.png	(from https://getmimo.com/)
16:12:44	8973/8973	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2020%20Sep%202017%2012:11:05%20GMT	https://getmimo.com/static/img/favicon/apple-icon-144x144.png	C:/My%20Web%20Sites/mimo/getmimo.com/static/img/favicon/apple-icon-144x144.png	(from https://getmimo.com/)
16:12:45	2915/2915	---M--	200	added ('OK')	image/png	etag:%222d362e827e0005283078324ccc12ca98%22	https://getmimo.com/static/img/favicon/apple-icon-152x152.png	C:/My%20Web%20Sites/mimo/getmimo.com/static/img/favicon/apple-icon-152x152.png	(from https://getmimo.com/)
16:12:46	4957/4957	---M--	200	added ('OK')	image/png	etag:%22b245014aa6dd179647016440e598988f%22	https://getmimo.com/static/img/favicon/apple-icon-180x180.png	C:/My%20Web%20Sites/mimo/getmimo.com/static/img/favicon/apple-icon-180x180.png	(from https://getmimo.com/)
16:12:46	3253/3253	---M--	200	added ('OK')	image/png	etag:%220cbf263615806ca23f306804d093df6c%22	https://getmimo.com/static/img/favicon/android-icon-192x192.png	C:/My%20Web%20Sites/mimo/getmimo.com/static/img/favicon/android-icon-192x192.png	(from https://getmimo.com/)
16:12:47	789/789	---M--	200	added ('OK')	image/png	etag:%22215c4b61b4575fdc54b1520c698b433d%22	https://getmimo.com/static/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/mimo/getmimo.com/static/img/favicon/favicon-32x32.png	(from https://getmimo.com/)
